taxa,species,RCP85BIO07-2070,RCP85BIO08-2070,RCP85BIO09-2070,RCP85BIO14-2070,RCP85BIO08-2050,RCP85BIO09-2050,BO22_RCP85_2100_templtmax_ss,BO22_RCP85_2050_tempmin_ss,BO22_RCP85_2050_tempmean_ss
Cyanobacteria,Anabaena,357,7,-12,33,110,-58,21.190077,-1.515,7.382
Cyanobacteria,Anabaena,358,9,110,33,112,-57,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,351,-16,127,30,64,113,20.91981,-1.687,8.226
Cyanobacteria,Anabaena,354,15,120,32,117,157,20.305989,-1.605,7.625
Cyanobacteria,Anabaena,352,19,123,31,61,160,20.532755,-1.608,7.77
Cyanobacteria,Anabaena,351,21,124,30,62,110,20.556257,-1.63,7.794
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.19894,-1.704,8.55
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,263,79,206,34,71,16,22.090072,1.594,11.645
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,335,83,173,42,127,55,21.240544,-0.946,8.866
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,360,13,114,32,116,-54,20.767914,-1.503,7.5
Cyanobacteria,Anabaena,0,0,0,0,0,0,20.984352,-1.511,7.595
Cyanobacteria,Anabaena,360,12,113,33,115,-55,20.936481,-1.51,7.515
Cyanobacteria,Anabaena,343,32,178,41,128,53,21.063178,-1.088,8.769
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.19894,-1.704,8.55
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,335,83,173,42,127,55,21.240544,-0.946,8.866
Cyanobacteria,Anabaena,351,-16,127,30,64,113,20.91981,-1.687,8.226
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.19894,-1.704,8.55
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,343,32,178,41,128,53,21.063178,-1.088,8.769
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,343,32,178,41,128,53,21.063178,-1.088,8.769
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,358,9,110,33,112,-57,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.138244,-1.516,7.489
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.35064,-1.516,7.529
Cyanobacteria,Anabaena,347,61,115,37,110,36,21.435206,-1.514,7.515
Cyanobacteria,Anabaena,350,61,115,36,110,37,21.35064,-1.516,7.529
Cyanobacteria,Anabaena,356,8,111,33,112,-56,21.190077,-1.515,7.382
Cyanobacteria,Anabaena,357,8,-11,33,111,-57,21.161899,-1.515,7.325
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,357,8,109,33,111,-58,21.148397,-1.514,7.362
Cyanobacteria,Anabaena,361,11,113,32,115,-55,20.767914,-1.503,7.5
Cyanobacteria,Anabaena,359,13,116,32,116,-53,20.714304,-1.496,7.537
Cyanobacteria,Anabaena,361,13,117,33,116,-53,20.548667,-1.51,7.531
Cyanobacteria,Anabaena,359,13,116,33,116,-52,20.56714,-1.505,7.543
Cyanobacteria,Anabaena,352,71,123,32,119,160,20.426575,-1.585,7.707
Cyanobacteria,Anabaena,352,72,124,31,120,160,20.431886,-1.582,7.709
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.19894,-1.704,8.55
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.138244,-1.516,7.489
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,358,10,111,33,113,-56,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,358,9,110,33,112,-57,21.102595,-1.514,7.391
Cyanobacteria,Anabaena,358,11,113,33,114,-55,21.100821,-1.515,7.427
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.138244,-1.516,7.489
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Anabaena,244,95,204,24,124,51,22.266625,1.286,11.63
Cyanobacteria,Anabaena,246,89,209,25,119,54,22.133556,1.346,11.513
Cyanobacteria,Anabaena,0,0,0,0,0,0,22.467354,0.967,11.924
Cyanobacteria,Anabaena,257,94,205,24,121,47,22.905711,1.049,11.989
Cyanobacteria,Anabaena,272,72,201,34,65,36,21.849369,1.11,11.545
Cyanobacteria,Anabaena,261,79,200,34,70,38,21.896204,1.14,11.641
Cyanobacteria,Anabaena,261,80,209,33,72,18,22.159371,1.592,11.598
Cyanobacteria,Anabaena,262,121,195,23,111,43,21.854268,1.244,11.749
Cyanobacteria,Anabaena,259,94,205,24,121,46,22.864791,1.061,11.994
Cyanobacteria,Anabaena,249,92,210,25,121,55,22.190585,1.211,11.535
Cyanobacteria,Anabaena,247,95,205,24,124,52,22.176997,1.297,11.628
Cyanobacteria,Anabaena,282,84,208,34,114,42,22.665063,1.116,11.84
Cyanobacteria,Anabaena,250,86,206,26,115,50,22.131756,1.01,11.461
Cyanobacteria,Anabaena,250,86,206,26,116,51,22.120022,0.928,11.454
Cyanobacteria,Anabaena,282,115,218,26,105,38,22.345714,0.885,10.275
Cyanobacteria,Anabaena,263,79,200,34,111,38,22.062997,1.079,11.681
Cyanobacteria,Anabaena,235,92,201,22,120,51,21.966106,0.942,11.793
Cyanobacteria,Anabaena,262,79,199,34,111,38,22.018174,1.128,11.709
Cyanobacteria,Anabaena,247,95,205,23,123,48,22.858565,1.046,11.989
Cyanobacteria,Anabaena,247,95,205,23,123,48,22.858565,1.046,11.989
Cyanobacteria,Anabaena,247,96,205,24,123,49,22.866391,1.059,11.985
Cyanobacteria,Anabaena,249,86,206,26,116,51,22.050349,1.248,11.431
Cyanobacteria,Anabaena,248,87,206,26,116,51,22.028321,1.273,11.428
Cyanobacteria,Anabaena,271,74,202,34,66,37,21.875116,1.083,11.54
